Time,Velocity,Wheel Angle,Push Button,X Pose,Y Pose,Z Orien,X PF,Y PF,Z Orien PF
0:0.7,0.0,0.5,False,8.786106231061567,7.738432412988493,-0.9443067772315759,-0.01540525026887396,0.03294131381836686,-0.01923775270979838
0:0.9,0.0,0.5,False,8.815173433251298,7.7746751766337585,-0.9380937784265053,-0.0007683289581933983,0.030158995581290593,0.008031981834438599
0:1.0,0.0,0.5,False,8.827212368141618,7.783117321582402,-0.9411105908661912,0.02392240318823341,0.012767446198000352,-0.009820882769188684
0:1.6,0.0,0.5,False,8.820608284224729,7.823010856852241,-0.9459601907337063,0.044221765102705465,0.03802621566591019,-0.014426480253412097
0:1.7,-8.333333333333334,0.5,False,8.820240969218409,7.821043975391625,-0.9450407185398024,0.04698851276373982,0.041938598032427554,-0.010797762808532594
0:1.9,-1700.0,0.5,False,8.824542167241745,7.795317280966977,-0.9435772220906663,0.031561301279812076,0.027793324748622665,-0.00815786264290511
0:2.0,-1750.0,0.5,False,8.824747184886391,7.774971430248865,-0.9430528505244467,0.03177376598557613,0.02127886861265224,-0.0065798421165863775
0:2.1,-1750.0,0.5,False,8.810486082805934,7.728702897304436,-0.9416780949861273,0.024046644931879857,0.020453002120956514,-0.002471224150592085
0:2.2,-1750.0,0.29639999999999994,False,8.783542403027347,7.659868526018075,-0.9389473293290818,0.02729345782236131,0.02490489452028762,-0.00823223492618813
0:2.4,-1750.0,0.15,False,8.686716637183453,7.411803132841856,-0.9175353103578847,-0.016095442260259468,0.02119998407288887,-0.04623120275402951
0:2.5,-1750.0,0.15,False,8.640882673190765,7.319223060455092,-0.8994869193933444,-0.003804295555988435,0.01481195802117036,-0.07020500313569197
0:2.6,-1750.0,0.15,False,8.577009269585021,7.2200708441446,-0.8812134141095325,0.039943662510928124,0.0237286474081735,-0.10833332567632838
0:2.7,-1750.0,0.15,False,8.526311852471137,7.162150745144361,-0.8675191630440867,0.1091245775432483,-0.017229733343254165,-0.18216215276102454
0:2.9,-1750.0,0.18059022006988526,False,8.506783901338206,7.0708312457079145,-0.8701320991701298,0.17770803196686716,-0.08143154810063633,-0.23194680759422326
0:3.1,-1750.0,0.33842751979827884,False,8.44513581645748,7.0140326470822565,-0.868054903325583,0.20646191300691397,-0.07501507279066448,-0.3151054469795607
0:3.2,-1750.0,0.33913604617118837,False,8.296149510200856,6.909300708001721,-0.8767406749922348,0.27293510849680125,-0.11230388688772655,-0.3392282011112691
0:3.3,-1750.0,0.33984456658363343,False,8.268617203034605,6.937286403190604,-0.8859151077332985,0.3275319972866747,-0.13600512917790375,-0.37009910422594283
0:3.5,-1750.0,0.5,False,8.10253419196277,6.867575362334396,-0.9025656424717108,0.34776384819800116,-0.12814441152051007,-0.40482999206392223
0:3.6,-1750.0,0.5,False,8.029672087645029,6.826915435941501,-0.9122267729034716,0.37237844314380636,-0.15289063272756112,-0.4475508064265895
0:3.8,-1750.0,0.15,False,7.906338672265347,6.768175230841344,-0.9026574433098216,0.43992371866740676,-0.18265090858556823,-0.46497398623281005
0:4.0,-1750.0,0.24847293233871456,False,7.812599173722743,6.725834900837548,-0.8839142428556253,0.48548984620270885,-0.22586890848182117,-0.4960232441316472
0:4.1,-1750.0,0.49341242105484007,False,7.715605768546456,6.681665988620371,-0.8906186558696615,0.5072691267986584,-0.26331716659094295,-0.5437987337705036
0:4.3,-1750.0,0.5,False,7.536788680133143,6.671527103791756,-0.9146087898904538,0.5738107372058187,-0.32911384523072795,-0.5626160951129163
0:4.4,-1750.0,0.5,False,7.457402691258547,6.663721935216937,-0.9168180014738114,0.6155456577169707,-0.3563341685048066,-0.5671526167241299
0:4.5,-1750.0,0.5,False,7.3768648769832375,6.6481652128898485,-0.9247101581898338,0.6353159816796543,-0.39667455216690706,-0.5837014479666864
0:4.6,-1750.0,0.5,False,7.319091560101753,6.616288711685307,-0.9232356884681514,0.6605932707099826,-0.42676225685232955,-0.5774537280222051
0:4.7,-1750.0,0.5,False,7.229955324883107,6.582387916520623,-0.9277312190408329,0.663931761443856,-0.4673107666299882,-0.6032905783859516
0:4.9,-1750.0,0.5,False,7.076774536545278,6.511387621427905,-0.9356657253811856,0.6761205690831172,-0.5164297489185263,-0.6076901945652838
0:5.0,-1750.0,0.5,False,7.030174174223087,6.479636710901818,-0.9341765089997909,0.69645983820518,-0.5644794767060377,-0.6010413925614709
0:5.1,-1750.0,0.5,False,6.999262752509589,6.45497910756871,-0.9319482463307187,0.722289417216014,-0.6448363352366937,-0.5977769678972112
0:5.2,-1750.0,0.5,False,6.971208704576364,6.436937853024983,-0.9316488117885322,0.7331028265146425,-0.6873443676101163,-0.5997165250390379
0:5.4,-1750.0,0.5014314812918504,False,6.874154913938112,6.419065456613678,-0.9329287891553751,0.787101957681967,-0.7631913968226525,-0.6013924308031485
