Time,Velocity,Wheel Angle,Push Button,X Pose,Y Pose,Z Orien,X PF,Y PF,Z Orien PF
0:2.7,0.0,0.5499999999999999,False,0.0004950378756839937,3.907292501728643e-05,1.237880752480499e-05,-8.92799764219228,5.735371386441619,0.29755161219032544
0:2.9,0.0,0.5499999999999999,False,0.0004898618869571747,4.124964541178467e-05,1.2656848135992373e-05,-8.927087536086978,5.738089919994341,0.29847319743874123
0:3.2,0.0,0.5499999999999999,False,0.000480893824289452,3.905712333295133e-05,1.0890419136775721e-05,-8.921298364458977,5.7392688034744275,0.2993537074188839
0:3.4,0.0,0.5499999999999999,False,0.0004670748844446015,3.599057486448955e-05,1.0607094628602685e-05,-8.913346283360813,5.743202030865686,0.2932783789906107
0:3.6,0.0,0.5499999999999999,False,0.0004691360401270913,3.542302790044601e-05,1.1704230518303752e-05,-8.92408524144298,5.746412907476501,0.29965325778413343
0:9.4,0.0,0.5499999999999999,False,0.0004912566945149782,3.080852447736297e-05,1.5024592030378623e-06,-8.9186270521447,5.746227623833544,0.2985655831759022
0:9.6,0.0,0.5499999999999999,False,0.0004914437275175613,3.16953695019458e-05,6.833972945433823e-08,-8.911414370368487,5.754532778475844,0.2924455467195827
