Time,Velocity,Wheel Angle,Push Button,X Pose,Y Pose,Z Orien,X PF,Y PF,Z Orien PF
0:3.0,0.0,0.5,False,-0.0002597877823093066,2.0355151417943827e-05,-4.133502687936516e-06,0.012036145339493043,0.03519513983338294,-0.0008665585797580927
0:4.1,0.0,0.5,False,-0.000277329852875554,2.1620696825129143e-05,-2.657130863996806e-06,0.02934799582040548,0.013295777173361842,-0.0038550542128956817
0:4.2,0.0,0.5,False,-0.0002781719022772276,2.0366118437241962e-05,-3.0533617095949146e-06,0.028439546674079885,0.0173072294644804,0.0011553351381527227
0:4.4,-35.0,0.5,False,-0.00026699674805755517,2.1027148761264856e-05,-2.677461926247267e-06,0.013195805528676413,0.02698494412613228,9.37762915912289e-05
0:4.5,-875.0,0.5,False,0.009148125771904958,0.0002663753592166456,-2.445761522885441e-06,0.010998868902252074,0.032793209749431215,-0.002160980464786077
0:4.6,-1750.0,0.5,False,0.017863254022349527,0.000271126734019693,-3.1789153124117764e-06,0.008540203396655371,0.025575779529707226,-0.0022658441959090506
0:4.7,-1750.0,0.5,False,0.02730383754391981,0.00025479712567582524,-3.538223264013859e-06,0.01213067806721424,0.015810791927022155,-0.0022491912120082024
0:4.8,-1750.0,0.5,False,0.06407328103039801,0.00021614440653669768,-3.6948899339726566e-06,0.003010440600394182,0.024856836732305942,0.004860863740839503
0:5.0,-1750.0,0.45884841829538353,False,0.15063104153545426,0.0013519512382112696,-0.0013280545598375972,-0.012272296108195385,0.029241560888624323,0.0010977266292106743
0:5.1,-1750.0,0.18688543438911442,False,0.2268920995362049,0.00029257845742794745,-0.027298027354708352,0.007141585723262733,0.027762851887257207,-0.008713551537584095
0:5.2,-1750.0,0.17636509963444302,False,0.27674035994044255,-0.0036907847651458663,-0.05001257521517764,0.01752277382691378,0.02169579618838397,-0.027324597875371916
0:5.4,-1750.0,0.2804285259882609,False,0.39881457473480153,-0.021582633008603743,-0.0998016812413593,0.06024016489947352,0.02431579457657039,-0.07535887956933221
0:5.5,-1750.0,0.4952190405777523,False,0.4524201455257668,-0.033433496183764774,-0.1055597783627202,0.08723143000802847,0.02065410912795263,-0.13973103440111423
0:5.6,-1750.0,0.5,False,0.5042833267183318,-0.04310936844782293,-0.10555989856119782,0.13974837571489504,0.02691865581249784,-0.16280874941591975
0:5.7,-1750.0,0.5,False,0.5514938868892901,-0.05288645016988172,-0.10556113317626689,0.1835834852526414,0.025894114582588612,-0.21906643673671067
0:5.9,-1750.0,0.5,False,0.644528095292831,-0.07189034104376574,-0.10556041975390142,0.25034314488476617,0.02822015753636649,-0.21877035267776163
0:6.0,-1750.0,0.5,False,0.6911132970966161,-0.0817142722013589,-0.10556004518386494,0.31404263965268986,0.026492869489956827,-0.2291919320998293
0:6.1,-1750.0,0.5,False,0.7378385514635809,-0.09184476879358841,-0.10555996892874361,0.38283126288814284,0.026171295530640626,-0.22961192554155915
0:6.2,-1750.0,0.5,False,0.7993853869192244,-0.10474829019534111,-0.10555943081338544,0.44043340360047,0.023074217045860393,-0.24017842978384157
0:6.3,-1750.0,0.5,False,0.832440177204361,-0.11165377561079443,-0.10555883502603053,0.4904783893834126,0.011201389318954286,-0.24316238587585015
0:6.5,-1750.0,0.572786615639925,False,0.930382441192948,-0.13272204608741703,-0.10235597433350656,0.5368708649846948,-0.010986279234667704,-0.2631428047437194
0:6.6,-1750.0,0.5460801771859328,False,0.9794283880430428,-0.14293674735035022,-0.09608846910580993,0.5952248004955637,-0.048579170480728164,-0.2736208002488687
0:6.7,-1750.0,0.5127766897281011,False,1.0256798193641443,-0.15247528499569668,-0.09573330091380117,0.6395882404853299,-0.0733210804583671,-0.26315494162633907
0:6.9,-1750.0,0.5443841589348656,False,1.1234571480480864,-0.17176423077300218,-0.08703995186529051,0.6773559242680698,-0.0942013061451522,-0.2584322197758232
0:7.0,-1750.0,0.5,False,1.1743997543074385,-0.18006841045361194,-0.08704027713867497,0.7209886543419188,-0.11020862234438387,-0.2546864913474607
0:7.1,-1750.0,0.5227705135941506,False,1.2367882405745014,-0.19098882539172532,-0.08596877989995545,0.7649779080826198,-0.1340501214098827,-0.2479330823762225
0:7.2,-1750.0,0.5277497299015522,False,1.2888894096517396,-0.20025711765860718,-0.08395064936182331,0.8008010952408009,-0.1696855219572056,-0.25521734279561986
0:7.4,-1750.0,0.526838772211756,False,1.3745818921948856,-0.21526941251130782,-0.08068608527686205,0.8392385474455202,-0.19655625044088532,-0.2504135686957937
0:7.5,-1750.0,0.5128791391049162,False,1.4221095545238396,-0.2231118859070956,-0.07935598590553052,0.8827970200993636,-0.22560332142509026,-0.2362559588652302
0:7.6,-1750.0,0.5,False,1.4823744299932855,-0.2330379987689875,-0.07935682522861165,0.9267460698580343,-0.2613803988106919,-0.2370655124563789
0:7.7,-1750.0,0.503699512431714,False,1.5192792725071325,-0.23857115169882637,-0.07935602602333491,0.9896183107265606,-0.29452454765704517,-0.2274308253616849
0:7.9,-1750.0,0.5430884743730228,False,1.6211188742604905,-0.25382599825264324,-0.07510631164160964,1.0266546311486162,-0.32311382172129416,-0.24843790863804713
0:8.0,-1750.0,0.544035267829895,False,1.6722404305750258,-0.2597940716272239,-0.0720358481657227,1.0639610554296495,-0.31947364204733303,-0.2531886675301419
0:8.1,-1750.0,0.5426173838973046,False,1.7205225732205034,-0.26686083101818936,-0.0689197695850445,1.1002062483303914,-0.32679190494107296,-0.2656142816002434
0:8.2,-1750.0,0.5426161259412766,False,1.7842474421691907,-0.2749951696584533,-0.06512266321701163,1.1520178316062133,-0.330178010177524,-0.26833378535978586
0:8.4,-1750.0,0.5029875297844411,False,1.8698999514900863,-0.2853185565383495,-0.062250137794168006,1.2016122109444354,-0.3322917668265333,-0.26504316079138823
0:8.5,-1750.0,0.5,False,1.9204259315229617,-0.2921696009337066,-0.062249009610234635,1.24294930011362,-0.3411753717606716,-0.26877957926437196
0:8.6,-1750.0,0.5,False,1.9814227897661458,-0.30033607283834163,-0.06224949589851649,1.3135273671993746,-0.3550499049604468,-0.2602997366319786
0:8.7,-1750.0,0.5845899669349194,False,2.030966719368862,-0.3074154761203131,-0.05871234612476288,1.3929124205296421,-0.3751498636701268,-0.25319752727496364
0:8.9,-1750.0,0.6103485888719559,False,2.1144747469969714,-0.3151699056443765,-0.032943505321803075,1.4583470790211015,-0.38423857034795084,-0.23302189526830472
0:9.0,-1750.0,0.5,False,2.1639605730100215,-0.31837204130505137,-0.03273594193403325,1.5449747141291525,-0.41692923706448587,-0.23147692298140243
0:9.1,-1750.0,0.5,False,2.214775313547844,-0.3221936039642621,-0.032735539310837614,1.6029944812425736,-0.4203309280708477,-0.19487336001236955
0:9.2,-1750.0,0.5,False,2.26748517503303,-0.32478667784978393,-0.03273557927058736,1.6424291953497026,-0.44324636868876716,-0.19222831297147516
0:9.4,-1750.0,0.5,False,2.367392621692638,-0.33186643800522025,-0.032734402906344134,1.6921374691467772,-0.46650133252529336,-0.20054601576461076
0:9.5,-1750.0,0.5,False,2.430039305952096,-0.33555285144678176,-0.03273351396844517,1.7403111399168965,-0.4850175730421521,-0.19969156669298213
0:9.6,-1750.0,0.5,False,2.480077964057946,-0.33896854810048455,-0.03273451396115251,1.7881181745044659,-0.5098441527481569,-0.20310116198301081
0:9.8,-1750.0,0.5,False,2.56508422642685,-0.3445861271366758,-0.032734287729778294,1.8237580074595021,-0.517346680807547,-0.19909760533171508
0:9.9,-1750.0,0.5,False,2.6305539584388233,-0.34960307472000357,-0.03273351945317359,1.8746464671401077,-0.5444420849976499,-0.1967264087034696
0:10.0,-1750.0,0.5,False,2.6675099530054958,-0.3521423908694268,-0.03273330272895483,1.9219859152029657,-0.5645063214625891,-0.1961432604713242
0:10.1,-1750.0,0.5652588136494159,False,2.7271801329014727,-0.3565282593530805,-0.030070928011531082,1.9684166372148084,-0.5800841646109937,-0.1971078766787739
0:10.3,-1750.0,0.5256073974738164,False,2.813609298056189,-0.36068854187530347,-0.019250415106655303,2.0045095385380387,-0.6038422749846992,-0.20074708509805064
0:10.4,-1750.0,0.5,False,2.874268513642375,-0.36410576443243414,-0.019024735348327805,2.0270595345546916,-0.6304878944456372,-0.20654373312117938
0:10.5,-1750.0,0.5,False,2.9134534071089906,-0.36586174014195694,-0.019025542071779138,2.064560328496267,-0.6618421051182779,-0.2009066278276232
0:10.6,-1750.0,0.5,False,2.967279899671526,-0.36802201026127546,-0.019025135276103305,2.12041144259823,-0.6914323020661927,-0.19574163131723277
0:10.8,-1750.0,0.5263110298197717,False,3.066318737784727,-0.3729408971124787,-0.018507627453111207,2.1749285298837693,-0.7162035206915333,-0.19774316256954902
0:10.9,-1750.0,0.563159091770649,False,3.1182339136600747,-0.3749250188535103,-0.01456866560008282,2.2511263291592423,-0.7456332994871074,-0.19034509129235946
0:11.0,-1750.0,0.557495103776455,False,3.1686753521295605,-0.37563089803857697,-0.01010226386516679,2.3230031485910643,-0.7707127738598565,-0.17925771418724043
0:11.1,-1750.0,0.5497013539075851,False,3.2288351116254574,-0.3758625375578478,-0.00564774710082292,2.37346163275225,-0.8024204424535961,-0.18580778494338643
0:11.3,-1750.0,0.7416103720664978,False,3.315183692636942,-0.3747270006417698,0.01592721988204978,2.4169825552972544,-0.8228662565384405,-0.18365869176093835
0:11.4,-1750.0,0.7175310879945754,False,3.3630023946529364,-0.3721825981873361,0.031399284724422515,2.4653045235192748,-0.8311007271991893,-0.17643163974019213
0:11.5,-1750.0,0.6645595848560333,False,3.4250556331418127,-0.36646956304147615,0.04676615948137182,2.50371959187729,-0.8431056764970445,-0.15589752006154592
0:11.6,-1750.0,0.6524862544877188,False,3.47183358746373,-0.361400534139676,0.0571380887595773,2.554701928956962,-0.8580472465773001,-0.12350514155865945
0:11.8,-1750.0,0.6686688760916392,False,3.557897040851306,-0.35016941416033287,0.07526182118863656,2.589642240191153,-0.8590408300367643,-0.09316977933965011
0:11.9,-1750.0,0.8368722059090933,False,3.6061356766128085,-0.3411406958795204,0.09416488785048645,2.6911941074289722,-0.8756305803914509,-0.05991083233493798
0:12.0,-1750.0,0.8499999999999999,False,3.6661511753843956,-0.3267324133771345,0.12503446783696495,2.754708123548811,-0.9044510476022173,-0.024719109543646835
0:12.1,-1750.0,0.8499999999999999,False,3.7036019314279294,-0.3162768384028427,0.14379220811152493,2.797471287250153,-0.9234126601089224,0.006976333922809479
0:12.3,-1750.0,0.8499999999999999,False,3.7910234628662356,-0.2872119039613321,0.18870391609800294,2.8203577273346188,-0.9316483696439267,0.030094832150505648
0:12.4,-1750.0,0.8499999999999999,False,3.8346473462113027,-0.26892440988789257,0.211763656666867,2.847901996433525,-0.9281101964232004,0.06973159718985014
0:12.5,-1750.0,0.85,False,3.889455932275134,-0.24254016785009966,0.24224516836898757,2.888938450983705,-0.9268557216168021,0.118790840756486
0:12.7,-1750.0,0.8499999999999999,False,3.959480423817454,-0.20126422617409917,0.281541142917243,2.9252744944102207,-0.9111444499657745,0.1558113042043825
0:12.8,-1750.0,0.85,False,4.00059568641435,-0.1725026557908243,0.30557235234261027,2.9458899486262897,-0.9149634197518146,0.19530962025960044
0:12.9,-1750.0,0.8499999999999999,False,4.051272945585798,-0.1329385489285997,0.33636688131291215,2.9866104777573996,-0.9214203729909367,0.2256399428940334
0:13.0,-1750.0,0.8499999999999999,False,4.08878284065363,-0.10076484803422255,0.35972864543061805,3.03515964429443,-0.9021298217637562,0.2822441271617798
