"['Time', 'Velocity', 'Wheel Angle', 'Push Button', 'X Pose', 'Y Pose', 'Z Orien', 'X PF', 'Y PF', 'Z Orien PF']"
0:0.7,0.0,0.5,False,-0.006688403631575196,-0.0005000563360494086,8.856733203850625e-07,-0.032332028823971626,-0.03366093637451828,0.01656452471301533
0:0.8,0.0,0.5,False,-0.006688912327918313,-0.0005008641618232891,7.94154590520423e-07,-0.017745311556142146,-0.04924760626926707,0.007927776307124787
0:3.9,0.0,0.5,False,-0.006685308707893153,-0.0005147448939719236,-2.753044967390945e-07,0.05509015433724464,-0.036013603172082624,-0.00020294820920227334
0:4.0,0.0,0.5,False,-0.006678503366201085,-0.0005150097056100814,-2.1013169740294533e-07,0.05722250611101995,-0.04120739105498699,0.0019241932851405486
0:4.2,-1225.0000000000002,0.5,False,0.0023390398478944077,-0.00032908707462685655,-1.0704566393375487e-06,0.056095804000368885,-0.03710203240258712,0.007737110984214684
0:4.3,-1750.0,0.5,False,0.010866988204788548,-0.00047117060539924113,-1.3974335362981751e-06,0.045408991777691254,-0.03682507811534715,0.001061347345275122
0:4.4,-1750.0,0.5,False,0.02663913309170004,-0.000490775346570962,-7.904595310135614e-07,0.04651710631523662,-0.019540251699641374,0.007841576973924553
0:4.5,-1750.0,0.5142032790929079,False,0.047907267531240944,-0.0005489465713283942,-0.00044315107359643464,0.046958835566174556,-0.028147723097028836,0.005927430012249852
0:4.7,-1750.0,0.85,False,0.1551875769400588,-0.0062925040769608075,-0.04884714671538237,0.0365792744356013,-0.022804755110680364,0.012102074826267701
0:4.8,-1750.0,0.85,False,0.21387439110126008,-0.014062279307448383,-0.07890647587878083,0.029166062498993367,-0.011393241891048872,0.04263100035641794
0:24.2,-1708.779443254818,0.4852496084557494,False,3.9165940879933325,3.8931530510294787,0.8431871614937162,0.54027156356042,-0.2825939745695119,0.9942020295124713
0:24.3,0.0,0.5,False,3.777647987087376,4.191441363917161,0.843185960495958,0.008675159511015218,-0.18365284678249025,0.996474862877625
0:24.4,0.0,0.5,False,3.777433076738118,4.1918768039508,0.8431857681869136,-0.005304446935135987,-0.2737469474013632,0.9985378895923825
0:24.5,0.0,0.5,False,3.7771773781684397,4.192442830109226,0.8431856882323819,-0.017773428496324017,-0.2967334681542915,0.9987035380190459
0:24.6,0.0,0.5,False,3.7770025370428,4.192807407713945,0.8431861491355468,-0.020898061139415725,-0.22957397328189214,0.9982102345389772
0:24.8,0.0,0.5,False,3.7767444498052587,4.19335316775804,0.8431868361048066,-0.012241519969172027,-0.15802963414422233,0.9973598031870946
0:24.9,0.0,0.5,False,3.7765926028649837,4.193686750692784,0.8431870503957809,-0.010939494868588695,-0.09243511964615793,0.996529061406335
0:25.0,0.0,0.5,False,3.776516970798738,4.193857094843011,0.8431875210390493,-0.004996773826259182,-0.05687240718493494,0.9960630392873558
0:25.1,0.0,0.5,False,3.7763974832017384,4.194123944940392,0.8431883827918212,-0.008623973434060933,-0.026028668753360712,0.9946864701119418
0:25.3,0.0,0.5,False,3.7762139069516945,4.194505095063803,0.8431879928776984,-0.011938767524564908,-0.017856797627802186,0.9951018291953907
0:25.4,0.0,0.5,False,3.7761303753423885,4.194675021431055,0.8431879349282374,-0.007625753404055413,-0.022353503424605695,0.9951756617146172
0:25.5,0.0,0.5,False,3.7760556527188855,4.194832487975221,0.8431875852126559,-0.0072484682179127236,-0.01177691320546087,0.9952217623928367
0:25.6,0.0,0.5,False,3.775997557699315,4.194958526305362,0.843187797401807,-0.010358513141694198,-0.020519720168858065,0.9948036897131566
