"['Time', 'Velocity', 'Wheel Angle', 'Push Button', 'X Pose', 'Y Pose', 'Z Orien', 'X PF', 'Y PF', 'Z Orien PF']"
0:0.9,0.0,0.5,False,0.00012046916700836198,-1.6135885495549743e-05,-7.263775333982076e-06,0.058588615412867084,-0.01478837079325625,-0.01627687303799919
0:1.0,0.0,0.5,False,0.00013148346531820926,-1.3664593525731357e-05,-7.718035657353738e-06,0.06643737241877923,-0.005305980470973727,0.002660405243291423
0:3.0,-125.0,0.5,False,0.0001438292861352694,-4.561231597035899e-06,-8.68878093678633e-06,0.07236240518831914,-0.033144502258931646,0.00635281345400709
0:3.1,-1225.0000000000002,0.5,False,0.006686577174369536,1.2930574144996838e-05,-8.134268456350097e-06,0.06629126845681299,-0.044094197065805425,-0.01082383934323434
0:3.2,-1750.0,0.5,False,0.01418518703352642,6.18780543516736e-05,-8.223339979501272e-06,0.06404724108176157,-0.03559610170315606,0.002325986023504565
0:3.4,-1750.0,0.6604481076788903,False,0.05700083059617011,0.0007873048109543586,-0.006265733291316742,0.05559250183759418,-0.035286908757499166,0.010436421115738885
0:3.5,-1750.0,0.85,False,0.10130019377499483,9.88919391292064e-05,-0.027724832772432116,0.05942418552036477,-0.03295455329872867,0.014415330217486933
0:3.6,-1750.0,0.8500000000000001,False,0.1578707729353124,-0.0054564428104686025,-0.05576751449470853,0.056378491652033624,-0.028604713204013643,0.031247185197733843
0:3.8,-1750.0,0.85,False,0.27922159724219753,-0.025992005899663925,-0.11695401064712294,0.05388142972576619,-0.015492872883676255,0.0971441923643001
0:3.9,-1750.0,0.85,False,0.3386812011334319,-0.041873373759534954,-0.1476833220175926,0.06884956061461166,0.013576345527656838,0.16165388249272117
0:4.0,-1750.0,0.85,False,0.39973083029880413,-0.06293095106434918,-0.17928721692885652,0.09428450074078949,0.01331078126491183,0.22247840334349475
0:4.1,-1750.0,0.85,False,0.452339429118395,-0.08305828666222057,-0.2068999898893358,0.1437554378253006,0.03598100421859698,0.271606917045322
0:4.3,-1750.0,0.85,False,0.5397304632465476,-0.12702327756289564,-0.2539964773913891,0.1699357651758612,0.05919298432686669,0.33452070179131
0:4.4,-1750.0,0.85,False,0.5791089405213581,-0.15031744084850512,-0.27643381680879064,0.2092761316819234,0.06030429609239744,0.3767371856079542
0:4.5,-1750.0,0.85,False,0.6139649491852415,-0.1731497537560383,-0.2965903285780789,0.2508573815574946,0.0647157040101782,0.42236907264146856
0:4.6,-1750.0,0.8500000000000001,False,0.6541445236691541,-0.2010765627508394,-0.31945183570755475,0.27304244451616333,0.07272474113872662,0.45582654951836415
0:4.8,-1750.0,0.5985229891141255,False,0.7361224530438535,-0.26954425244574415,-0.35439664101555846,0.31367319326919785,0.0967603830685915,0.5012353981316399
0:4.9,-1750.0,0.5,False,0.7725116231111561,-0.30313666379913606,-0.35439639917498117,0.35116262143058785,0.1113173766904709,0.5377353499980655
0:5.0,-1750.0,0.5,False,0.8115011722640224,-0.3379954072619599,-0.3543955271756244,0.38864599890300006,0.13109042555853964,0.5628184996953853
0:5.1,-1750.0,0.5,False,0.8523751234445701,-0.3740920470877881,-0.3543960258120324,0.4037466596499671,0.13448436970880137,0.5950914509566402
0:5.3,-1750.0,0.5,False,0.9328550888182757,-0.4448219115427019,-0.3543945009098329,0.4110048753840911,0.13818730201853308,0.6054298174884474
0:5.4,-1750.0,0.5,False,0.9726672415459887,-0.4793596198406603,-0.3543948350893138,0.4268082265001072,0.18488267200947806,0.6187644832131031
0:5.5,-1750.0,0.5,False,1.0106475061156517,-0.5124782688293967,-0.3543947976948917,0.4458177073000753,0.22995323833417408,0.6275925882759025
0:5.6,-1750.0,0.5,False,1.0482907391426184,-0.5462077347171972,-0.3543946581264471,0.4717271760320726,0.24773910818618694,0.6329964537974099
0:5.8,-1750.0,0.5,False,1.1226358344549494,-0.6130471649845721,-0.3543946721591341,0.4732091593803929,0.26571523496999216,0.6424603429198944
0:5.9,-1750.0,0.5,False,1.1575878066234608,-0.6441930240412925,-0.35439470040741644,0.49510795386459167,0.323720878756084,0.652803146776692
0:6.0,-1750.0,0.4857687775045634,False,1.194131125143405,-0.6766123826441168,-0.3539110427563592,0.5123119783152732,0.35551691489361026,0.6652771688156792
0:6.1,-1750.0,0.4606819267074268,False,1.2313035785500104,-0.7092210042550695,-0.3515099735913131,0.5169088081513117,0.3605414082087585,0.6709259911542506
0:6.3,-1750.0,0.4907604991724449,False,1.307204209351288,-0.7739765051253424,-0.35009547361726157,0.5151064205257864,0.3891349159862111,0.6880583075050407
0:6.4,-1750.0,0.3865651443600656,False,1.3435522085768001,-0.8063581234037094,-0.34512551705063643,0.5169148324552725,0.42943352688987413,0.6827267315920561
0:6.5,-1750.0,0.33203825056552894,False,1.3797754409388185,-0.8373220676568313,-0.33500356892918604,0.519387532068334,0.5011888672721744,0.6859160362916302
0:6.6,-1750.0,0.33227302630742395,False,1.4182197667547478,-0.8683695392868498,-0.32371789361696895,0.5392404799385214,0.5763830527619374,0.6791684344624392
0:6.8,-1750.0,0.3663294277020863,False,1.5011720364505041,-0.9292157902009602,-0.3045846550756769,0.5609842107844183,0.6445989454549264,0.6675904186399994
0:6.9,-1750.0,0.2697238832712173,False,1.539793009836042,-0.9571040094288348,-0.291971439460063,0.5842997927810049,0.6808927953091846,0.6448026497719451
0:7.0,-1750.0,0.22936325967311866,False,1.5813422381669722,-0.9837950831551783,-0.27414074547935685,0.5973392373911375,0.7202279006200561,0.6300580323379795
0:7.1,-1750.0,0.2268839485943318,False,1.6247361913580214,-1.0102825040646446,-0.255805159737908,0.6071636845952694,0.7723369639071855,0.6130692768663983
0:7.3,-1750.0,0.4893682983686527,False,1.7092894159897647,-1.0567435987651972,-0.23717235369055872,0.6224154014646178,0.8219376730873946,0.5756939692350674
0:7.4,-1750.0,0.4602845514814058,False,1.75125649942379,-1.0785913551749107,-0.23589386060457623,0.62185182282382,0.8431093738849763,0.555589070454789
0:7.5,-1750.0,0.2959245502948761,False,1.793915786003003,-1.0993801451549454,-0.22496239057456735,0.6337951049583136,0.8722402533015926,0.5395296680896462
0:7.7,-1750.0,0.242106181383133,False,1.8846223945839258,-1.1393158567033903,-0.19105539154626736,0.6282450868849295,0.8965392680875768,0.537937348910895
0:7.8,-1750.0,0.23289958238601693,False,1.9319228097071437,-1.1576977715005201,-0.17218156205687352,0.6344069559402756,0.9228289656297548,0.5317758980990358
0:7.9,-1750.0,0.19168218255043035,False,1.9785667387727304,-1.1730335572140573,-0.152388875064039,0.6480310805965601,0.9580062917668674,0.5038788225995481
0:8.0,-1750.0,0.15000000000000002,False,2.0239306709034626,-1.1850598208158598,-0.12950920127224147,0.650284467673382,0.974722306316994,0.48727377612868433
0:8.1,-1750.0,0.15000000000000013,False,2.073811682445613,-1.1964541475043111,-0.10402593236540125,0.6646550878971085,0.973302525790712,0.4479981218960461
0:8.3,-1750.0,0.15000000000000002,False,2.165318451802829,-1.2117837108471483,-0.057442314440060094,0.6689962319631222,0.986174312855698,0.40564399606150614
0:8.4,-1750.0,0.15000000000000002,False,2.211721419033071,-1.2157113022787343,-0.03349780075783794,0.6869942834917501,1.0126838860318197,0.37443456394030017
0:8.5,-1750.0,0.15000000000000002,False,2.2614533887532327,-1.2179829013716916,-0.008596077673344209,0.704695256117495,1.0320147701784357,0.32275398653127557
0:8.7,-1750.0,0.15000000000000013,False,2.359971568794662,-1.2161236842899896,0.039973876223277055,0.7302548343321785,1.0611031391234858,0.294437883303463
0:8.8,-1750.0,0.15000000000000002,False,2.4131402536026485,-1.2106957376287077,0.06664511670092238,0.7199526321806167,1.0608858680363473,0.2554115856963227
0:8.9,-1750.0,0.15000000000000013,False,2.4632705002349113,-1.2026719866208002,0.0919495034216736,0.7047569536662796,1.0430618221965249,0.23651365015742246
0:9.0,-1750.0,0.20120000000000005,False,2.510637964289793,-1.1926053936853271,0.11310154206901535,0.7017076385473198,0.9999267615521673,0.22716389533801506
0:9.1,-1750.0,0.45971428571428574,False,2.55714007196275,-1.180862895673698,0.11780743425440793,0.6152830958184994,0.7499779046766315,0.3004205466839275
0:9.3,-1750.0,0.48893858375293875,False,2.6632650259888972,-1.1552569248894264,0.1178080422086222,0.4211760184431838,0.1911759790101001,0.5030806539119247
0:9.4,-1750.0,0.44463256038725374,False,2.7174085788607045,-1.1423140451386042,0.12148890291275755,0.3593547068170758,-0.0506092651792871,0.5606425143885116
0:9.5,-1750.0,0.19941215429987225,False,2.771636183818807,-1.1289747797595902,0.1407085094669837,0.3506025092856788,-0.11637106616920742,0.5861771418363778
0:9.6,-1750.0,0.3763261595567068,False,2.825368518814618,-1.1115849443035493,0.1558645087755248,0.3616959444532259,-0.1332478737555071,0.5915709257889239
0:9.8,-1750.0,0.5,False,2.9206177230039305,-1.0798509337669844,0.15667858005011792,0.400543982857222,-0.11316769007884706,0.5647853954092422
0:9.9,-1750.0,0.5,False,2.9679143039547036,-1.0637069266762496,0.1566776917891544,0.4244458423085385,-0.08715010004851359,0.551682172720377
