"['Time', 'Velocity', 'Wheel Angle', 'Push Button', 'X Pose', 'Y Pose', 'Z Orien', 'X PF', 'Y PF', 'Z Orien PF']"
0:1.4,0.0,0.5,False,0.0001170056053758855,-1.6783899084419455e-05,-4.394414294466739e-06,0.04871484402032303,-0.041559454736292134,0.00751084345184488
0:2.5,0.0,0.5,False,0.00014262997004020167,-1.4422521111335085e-05,-1.0195689353354313e-05,0.04511472235157296,-0.026506580445488814,0.010282408193010427
0:2.6,-591.1230930437645,0.5,False,0.004337675030854935,-6.806822564598101e-05,-1.0820196536298173e-05,0.041516292312008055,-0.025220434845688647,0.0037123636114905155
0:2.8,-1750.0,0.5,False,0.021396313351108483,-5.813099675123747e-05,-1.1120475596743513e-05,0.041174284618351834,-0.02233878653537419,0.005110898626345081
0:2.9,-1750.0,0.5,False,0.052025510951715426,-0.0003500855781555854,-1.206306287824556e-05,0.02721872734478631,-0.02830375707261279,-1.5850175710650734e-05
0:3.0,-1750.0,0.5,False,0.09525245598735013,0.0005098193303267437,-1.3265830086674918e-05,0.026366150517198456,-0.02895350877485752,0.00605845612226779
0:3.1,-1750.0,0.5159779034554959,False,0.13314237580840804,0.000830595107479617,-1.436929715358765e-05,0.02525765872706756,-0.029707068456534282,0.006758595304806803
0:3.3,-1750.0,0.8055632770061493,False,0.2342078987687232,-0.002162119586674645,-0.02835961137334932,0.05228392490719928,-0.03220212776482462,0.011647589428481365
0:3.5,-1750.0,0.8500000000000001,False,0.3460943640131584,-0.017125501120999545,-0.08256652932843206,0.0933177950515128,-0.02489578839252616,0.09527479738214902
0:3.6,-1750.0,0.85,False,0.45500264472332763,-0.04201673145460137,-0.1380950748689615,0.12535465351489292,-0.042821852462521647,0.15443094939927307
0:3.8,-1750.0,0.85,False,0.5476739401149292,-0.0739011957153146,-0.18671858386267218,0.16236466917846915,-0.05897072464458214,0.23131141566153557
0:3.9,-1750.0,0.85,False,0.5797159127946091,-0.08720565743357794,-0.20422039619381435,0.23079570506065616,-0.062352491029048066,0.28229829499904957
0:4.0,-1750.0,0.85,False,0.6188213514831203,-0.1049483493978119,-0.22506379087990785,0.2795313795857214,-0.0565546213782481,0.3126785483846549
0:4.1,-1750.0,0.85,False,0.6669152991969849,-0.13034184340915328,-0.2507848588527543,0.3138975039226684,-0.03913516088879686,0.3578136784543049
0:4.3,-1750.0,0.743270048464669,False,0.7449356118545696,-0.17991683154857188,-0.28722608859560184,0.32982892344941067,-0.034789642981290725,0.41503704979776035
