Time,Velocity,Wheel Angle,Push Button,X Pose,Y Pose,Z Orien,X PF,Y PF,Z Orien PF
0:0.8,0.0,0.5,False,-0.00034127860027234044,6.498280880937968e-05,4.980355930508056e-06,0.03712383704502978,0.014524837622719233,0.01059225062384667
0:2.2,0.0,0.5,False,-0.0003131717381966043,6.955448180966274e-05,5.0456619339238365e-06,0.05037381809505606,0.00931157513625337,0.004627653724842071
0:2.3,0.0,0.5,False,-0.00031979129894398826,6.966295398191809e-05,4.172208605432805e-06,0.04428597512629569,0.016103205864327674,0.006868595200251838
0:2.4,0.0,0.5,False,-0.0003214509645042533,6.914317412660158e-05,4.158703534675507e-06,0.04709965965087208,0.02142346861706597,0.0033954849775916524
0:2.6,-1200.0,0.5,False,0.00126033715601956,7.643647777025395e-05,4.537327174220591e-06,0.0487785908410452,0.023902342822729454,0.008679135250872806
0:2.7,-1750.0,0.5,False,0.00844173185920525,0.00013337105909318368,5.575313309720431e-06,0.053572759012038076,0.025092303543548564,0.0040995274459098875
0:2.8,-1750.0,0.5,False,0.03175805726008189,-4.705818763573387e-05,5.778533372577177e-06,0.05096371776859454,0.01865619341752293,-0.003939030205777798
0:3.0,-1750.0,0.16954285714285713,False,0.10903978765689681,-0.00042994980477429896,-0.017964815981150527,0.03723482465046357,0.011598773766585021,0.006251189706964231
0:3.1,-1750.0,0.15,False,0.1730283535061352,-0.004806849754469678,-0.04983329142852326,0.038660396398956715,0.013286966838696037,-0.0030670204338186305
0:3.2,-1750.0,0.15,False,0.23497751028663635,-0.013997565685254574,-0.08090489816543893,0.04403927205209392,0.014338216481978352,-0.03590100486998552
0:3.3,-1750.0,0.15,False,0.31184168453801575,-0.02932720566927457,-0.11965753542108525,0.0932309481890812,0.0057136061954980374,-0.10964359673202081
0:3.5,-1750.0,0.15,False,0.4228750772841471,-0.06285279484613736,-0.17751890355650568,0.11030015756438627,0.017888941398636914,-0.1726947314233649
0:3.7,-1750.0,0.15,False,0.489138350031292,-0.0908366836705197,-0.2125864044186035,0.16655863523520073,0.007365295793276008,-0.28438339767351545
0:3.8,-1750.0,0.15,False,0.534666438571378,-0.11274045356000886,-0.23761112281823904,0.17367749123532114,0.005237397452248452,-0.34591291994936757
0:3.9,-1750.0,0.14999999999999997,False,0.5766586470778952,-0.1360264310150283,-0.26086732023443543,0.2174712344359973,-0.012521860167772056,-0.37376463203025756
0:4.1,-1750.0,0.15,False,0.6728512720254479,-0.1991929025266772,-0.3157199237096251,0.24306945223598247,-0.014489181678700516,-0.4298387842877523
0:4.2,-1750.0,0.15,False,0.7109139578725341,-0.2287007911092915,-0.33901110136800056,0.2647862588619533,-0.005205623049872571,-0.4855212527111766
0:4.3,-1750.0,0.15,False,0.744078433552206,-0.2574755878413628,-0.3596856819393445,0.30783847041570156,-0.0242474974600715,-0.5095047683191684
0:4.5,-1750.0,0.15,False,0.8131366635413879,-0.3267488409041167,-0.40545553820154157,0.3480969199635302,-0.05612391112595898,-0.5482845761350594
0:4.6,-1750.0,0.36252000000000006,False,0.8496711815595063,-0.37001652128203233,-0.4167618309123444,0.3762675253662278,-0.08967612385914853,-0.5850391107853288
0:24.6,-1750.0,0.652014357535591,False,2.256025636439595,-1.121386857250447,-0.13072668306247098,1.3645294925872442,0.623376812227854,-0.9970852320700467
0:24.8,0.0,0.5,False,5.013710082185433,1.5310972794706,0.7171890267066315,1.328265580477459,0.6285793039504062,0.9999172547592676
0:25.0,0.0,0.5,False,4.785107392087989,3.3683602724844928,0.8144966936228466,1.2697737600708165,0.633041587811356,0.9999992340601253
0:27.7,0.0,0.5,False,4.784574706809117,3.3698621330559386,0.8144950874585741,-0.0887784165502711,0.24379568901589305,-0.9663852573208322
0:27.8,0.0,0.5,False,4.784564584060991,3.3698888833844753,0.8144944340516929,-0.09197885795900052,0.24606944151299207,-0.9654439031072388
0:28.0,0.0,0.5,False,4.784549011997066,3.3699330535447465,0.8144954178217048,-0.09266477587355917,0.24431118958829456,-0.9660948703985487
0:28.1,0.0,0.5,False,4.784532207576818,3.3699831182710045,0.8144956389209063,-0.09464633822981772,0.24319379996225315,-0.9663131988508595
0:28.2,0.0,0.5,False,4.784523386135275,3.3700080326066724,0.8144962639019389,-0.08917295552741025,0.25129307989972893,-0.9668313945271745
0:28.4,0.0,0.5,False,4.784508515245671,3.3700468501741225,0.8144969581896956,-0.08238554438053727,0.2582179035683949,-0.9666618321296229
