"['Time', 'Velocity', 'Wheel Angle', 'Push Button', 'X Pose', 'Y Pose', 'Z Orien', 'X PF', 'Y PF', 'Z Orien PF']"
0:3.6,0.0,0.5,False,-6.479710982349567e-05,-5.081801327567113e-05,-8.251679611868893e-06,0.00925402362292727,-0.06885526705939313,0.006815912886035791
0:9.9,0.0,0.5,False,-3.6785755966917376e-05,-6.859689789567917e-05,-3.971262936254729e-06,0.036103566830339245,-0.017707012203363334,-0.004517448081061176
0:11.0,0.0,0.5,False,-6.209193000354486e-05,-6.720403768488686e-05,-4.857091853466103e-06,0.06025942506919675,-0.013703643034511749,-0.0029027084304460624
0:11.1,-194.44444444444446,0.5,False,-7.126547470437842e-05,-6.74501821071824e-05,-4.351722758579311e-06,0.05256551829524912,-0.030728070721664585,0.001418492710230833
0:11.2,-1680.0,0.5,False,0.026899541268434135,0.0012535165677389833,-3.533720333490794e-06,0.037033871700414195,-0.0312986360593551,0.007394399479237814
0:11.3,-1750.0,0.5,False,0.032560777354803616,0.0012879418855086884,-3.586098888639867e-06,0.03777814887826908,-0.032828119668014535,0.011670832720817445
0:11.5,-1750.0,0.85,False,0.0814851309201434,0.001354585184453738,-0.019093515036309187,0.02649771258646355,-0.02957211881598082,0.017079334273530623
0:11.6,-1750.0,0.85,False,0.13101254206650503,-0.0013220838739031369,-0.04444323988369999,0.013958583628024351,-0.021699715457982553,0.021589923982058765
0:11.7,-1750.0,0.8500000000000001,False,0.18614955503800787,-0.006726648780281769,-0.07242414974464727,0.024977719053963815,-0.012997152437176113,0.06914395636438386
0:11.8,-1750.0,0.85,False,0.2439194096480042,-0.016893830376380068,-0.10214988520117511,0.040100413582256814,0.014391616417837642,0.13087987741317944
0:12.0,-1750.0,0.85,False,0.3703994333566595,-0.04982080129310089,-0.16585691261033064,0.05579015966325278,0.026599344150303274,0.1977823961600822
0:12.1,-1750.0,0.85,False,0.42324044535697536,-0.06997457752928013,-0.19396555659795753,0.08652130973600322,0.02949591679468356,0.24493668137029473
0:12.2,-1750.0,0.85,False,0.47126840157939515,-0.08984664997854691,-0.21896163919283845,0.12777918387540868,0.04095632346227484,0.3095226231322827
0:12.4,-1750.0,0.5322085359382629,False,0.5531224186331436,-0.13083616153330752,-0.2459961941907458,0.1843689560010651,0.04199995442266491,0.35841014104649604
0:12.5,-1750.0,0.5,False,0.5941930426257842,-0.15264542039856943,-0.24599761314046337,0.2075842523645405,0.05148589392225714,0.4128357885865064
0:12.6,-1750.0,0.5,False,0.6338256631580115,-0.17488992560439964,-0.24599848030523416,0.22847357286633316,0.04024138473326688,0.4391738578970177
0:12.7,-1750.0,0.5,False,0.6785347349824362,-0.20009446787366997,-0.2459986891821687,0.25046191237935495,0.043867827245813396,0.4439472585820639
0:12.9,-1750.0,0.5,False,0.7664269364161721,-0.24685926169219186,-0.24599825489465343,0.2707872942159025,0.039829388791553164,0.46661779828763567
0:13.0,-1750.0,0.5,False,0.8148895858315002,-0.27209491454909684,-0.2459981186051,0.31738799905720516,0.0604851866526024,0.4852550681416113
0:13.1,-1750.0,0.5,False,0.8610674237161569,-0.2968799896834884,-0.2459984870795639,0.3379204915013755,0.05033014333033818,0.4940890208114064
0:13.2,-1750.0,0.5,False,0.9086040331532242,-0.32313553723433425,-0.24599815472687153,0.3589008728967491,0.04780660556123857,0.50366267423525
0:13.4,-1750.0,0.38090115785598755,False,0.9964477090727109,-0.37047792908391686,-0.23660217486515675,0.3869251944500294,0.07800351521660137,0.5094792701446097
0:13.5,-1750.0,0.34988295823335647,False,1.0479067952352215,-0.39680637107177885,-0.2263012705558772,0.41049266958576364,0.10064006566442754,0.5411671241139808
0:13.6,-1750.0,0.27680492401123047,False,1.0938343252971172,-0.4183144781463112,-0.21260147244470928,0.439952207413763,0.1300820162640886,0.540869664084488
0:13.7,-1750.0,0.18875207106272385,False,1.1278697025065467,-0.43370785371326814,-0.1968326353401752,0.4819980974441721,0.15353682786696496,0.5251656202931237
0:13.8,-1750.0,0.15000000000000013,False,1.1727298713273895,-0.4511178007642726,-0.1735787404956628,0.5235595966647563,0.17478590739588967,0.5054201386703475
0:14.0,-1750.0,0.2879678516387941,False,1.2650617729772418,-0.4810165506175257,-0.131797656031458,0.5562291211646668,0.1908095130951271,0.47010049289095585
0:14.1,-1750.0,0.29113622617721546,False,1.3130762294640883,-0.493761930097527,-0.12421304913080014,0.6120002527739471,0.22380286624685014,0.4252380111423086
0:14.2,-1750.0,0.15000000000000013,False,1.356963331356137,-0.5033523227523676,-0.10371055680175353,0.6420787881431611,0.2404659785738129,0.393987654502065
0:14.4,-1750.0,0.268984724632899,False,1.451165406932001,-0.5197902984657092,-0.05870644861894943,0.6886808632826391,0.29038473107763857,0.35980147232854953
0:14.5,-1750.0,0.40497555534044904,False,1.4979313375924086,-0.525045210793156,-0.05092309197408965,0.7361647490525768,0.35276559887186687,0.3299163126724091
0:14.6,-1750.0,0.3754105852399554,False,1.5476623080390834,-0.5297930328987672,-0.04476312808047479,0.7485813143438403,0.38794252285354347,0.29029193076255594
0:14.7,-1750.0,0.1967858940362931,False,1.6029145152420323,-0.53375791064649,-0.025243692259739624,0.7676689451205401,0.4210947395420426,0.26662980407213677
0:14.9,-1750.0,0.4202666666666668,False,1.7130642931135616,-0.5326458686445491,0.01950003139599945,0.811445981718013,0.4429527872295643,0.24009619563808146
0:15.1,-1750.0,0.49378729043528446,False,1.8151894918434617,-0.529025875838461,0.020509386316423593,0.8795955474397115,0.4865235205285815,0.17155830683729292
0:15.2,-1750.0,0.4957055561244488,False,1.8654673341238182,-0.527044673534971,0.0211697922902113,0.9303697662739617,0.5214380394536248,0.15291980436518632
0:15.3,-1750.0,0.48598169099007327,False,1.9144596910189362,-0.5250062283565342,0.02176034607305658,0.9757456890084812,0.5409197856695349,0.14485845282908466
0:15.5,-1750.0,0.41812759431203217,False,2.015612766173512,-0.5183627743302169,0.04859790623221081,1.0260293472343098,0.545031839101582,0.12962900921019377
0:15.6,-1750.0,0.5,False,2.0749352858082353,-0.5121578256734863,0.048598449407742564,1.0509485441445863,0.5500946381183699,0.12075923082751418
0:15.7,-1750.0,0.5,False,2.126298196444744,-0.5081076377279751,0.048597824285874,1.092948551249129,0.5731964528903515,0.10964192112848294
0:15.9,-1750.0,0.5,False,2.216368662238164,-0.49791914713186647,0.048598233824764595,1.1485599444305086,0.5887277069558343,0.10679325796445717
0:16.0,-1750.0,0.5049966774546193,False,2.265680005622748,-0.4927061155012368,0.04859685515539636,1.2036843432478768,0.6027308969918805,0.10331151876069947
0:16.1,-1750.0,0.5176717155746051,False,2.3183577529536965,-0.4883109901124625,0.04735085039408141,1.2555212362732393,0.6048538995344551,0.10773397693701248
0:16.2,-1750.0,0.5256000000000001,False,2.3799151615647696,-0.4824147354263038,0.04735056273083748,1.3088180129796112,0.6078669666368259,0.10382436630425981
0:16.4,-1750.0,0.5,False,2.4631140914682232,-0.4755346405476768,0.0413835402589249,1.3541614812109095,0.6219738851686628,0.12346055928955796
0:16.5,-1750.0,0.5,False,2.526003182207136,-0.46982277072826945,0.04138322518176804,1.3468433065540795,0.598841446668103,0.17881271350716235
0:16.6,-1750.0,0.5,False,2.5662141731508097,-0.4670366945741228,0.0413832648021399,1.2376447184876085,0.4141625743767228,0.436942231981264
0:16.7,-1750.0,0.5,False,2.617220093844291,-0.46307242847843055,0.041382218146303676,1.1253977186580109,0.2122800159020585,0.6276746287008194
0:16.9,-1750.0,0.5,False,2.71929923410001,-0.4553769059507002,0.04138087316452371,1.086808326787904,0.12311262264364023,0.6892467245197634
0:17.0,-1750.0,0.5,False,2.7700163107897593,-0.4522393527283829,0.04138082256803606,1.080751387087794,0.09850627939902819,0.7283245861308655
0:17.1,-1750.0,0.5,False,2.817608783053723,-0.4487192787081536,0.041380932545335765,1.0826976554534762,0.09371880820236074,0.7426826212405606
0:17.3,-1750.0,0.5,False,2.917786820676243,-0.43987324248506304,0.04138057743828427,1.0924386772204724,0.0941462492124286,0.7533507646695434
0:17.4,-1750.0,0.5,False,2.9709507227978547,-0.4367579056535313,0.041381182520984536,1.0923935837029342,0.13832685115843152,0.7694558671737015
0:17.5,-1750.0,0.5,False,3.020035332935756,-0.432923559965032,0.04138121272570508,1.0969221310996686,0.19313840755192196,0.772608498560342
0:17.6,-1750.0,0.5,False,3.0688251988349133,-0.4294757005470248,0.04138061350589791,1.1054234299616552,0.23719794280303516,0.7694948285692687
