Time,Velocity,Wheel Angle,Push Button,X Pose,Y Pose,Z Orien,X PF,Y PF,Z Orien PF
0:0.7,0.0,0.5,False,-0.0001616216388736831,3.1824213860710024e-05,-4.899857132159775e-05,0.024707656181986115,0.021849949788117648,-0.022480916255461402
0:2.6,0.0,0.5,False,-0.0002056317600357086,1.9361943437271102e-05,-4.43165825942235e-05,0.02459876473556652,0.035295293282157095,-0.020975137365728157
0:2.7,-70.0,0.5,False,0.004765730992080018,-5.6269899708152895e-05,-4.45494654633177e-05,0.02836027778715136,0.03544527318174297,-0.02777117039055075
0:2.9,-1750.0,0.5,False,0.02635098638000562,0.00012522220148924003,-4.40136756616685e-05,0.020134088026062508,0.038088029512429386,-0.02216821835744071
0:3.0,-1750.0,0.5,False,0.03648409590521888,0.00017256991143423626,-4.421767628830193e-05,0.01573022982344241,0.040182149561948516,-0.0284778813950236
0:3.1,-1750.0,0.5,False,0.06580234503106455,-0.0001284572440215615,-4.454594718497974e-05,0.01241972789951859,0.04399171965628004,-0.02787575380510714
0:3.3,-1750.0,0.26386666666666664,False,0.1721255940583286,-0.00029587876117481303,-0.025232368919988042,0.015415128801465006,0.04189172541806208,-0.02679844138881636
0:3.4,-1750.0,0.15,False,0.2352222972660361,-0.004173605554309415,-0.05734314686535054,0.024255869463152308,0.04173248111547444,-0.027956654060188973
0:3.5,-1750.0,0.15,False,0.2972370574757284,-0.012365688088852973,-0.08788304364305964,0.04144695764554544,0.025381513480936233,-0.06044250996816589
0:3.6,-1750.0,0.15,False,0.3603931958061522,-0.025680310249646045,-0.12003198810720234,0.09020806415637088,0.0042719873274289916,-0.12373997044045831
0:3.8,-1750.0,0.15979336274464925,False,0.47067514349608774,-0.059771169156249394,-0.1751860973800261,0.146883124383482,-0.014372867048381678,-0.19019687097886329
0:3.9,-1750.0,0.3943917769591014,False,0.5191269494779625,-0.07817818422144195,-0.1834039881100473,0.1747505165831732,-0.03166160484011922,-0.2494963362399815
0:4.0,-1750.0,0.5,False,0.5627682596528096,-0.09499523240075272,-0.18340429476968675,0.2203211601629752,-0.040435883937836224,-0.2861080969209116
0:4.2,-1750.0,0.5,False,0.6525293179606049,-0.12890582948774937,-0.18340503425730753,0.2831051393582147,-0.04352139769368613,-0.32876417546188974
0:4.4,-1750.0,0.5,False,0.7446546205163602,-0.16425881519117447,-0.1834038693695862,0.3695994990834437,-0.08592133848213036,-0.34214445774539853
0:4.5,-1750.0,0.5,False,0.7918161635113068,-0.1836800103707652,-0.18340348073272583,0.4178700745410924,-0.0954142675152372,-0.34416864767362726
0:4.6,-1750.0,0.5,False,0.8395972261721887,-0.20255971914875587,-0.18340236122232006,0.45727820234358496,-0.11001464096392957,-0.34879618510949345
0:4.8,-1750.0,0.5147224299609662,False,0.93412468275457,-0.24032531207098803,-0.18217756169848864,0.4768688050292761,-0.12467514341010848,-0.3697700871773706
0:4.9,-1750.0,0.527041207253933,False,0.9814291508352151,-0.2583137757321782,-0.18026852558452422,0.5280431617886341,-0.14797153149980904,-0.35613589998552125
0:5.0,-1750.0,0.5302991534769536,False,1.0288917182216906,-0.2758755395624598,-0.17819103308278034,0.5606525931523898,-0.17258264350760683,-0.363393573378543
0:5.1,-1750.0,0.6176817953586579,False,1.0739016319169015,-0.2921515622439457,-0.17131966431013723,0.5741839666507615,-0.18768053538265322,-0.3822256911341039
0:5.3,-1750.0,0.5859601059556008,False,1.1577905181784591,-0.32121433863909127,-0.15468319431015887,0.6015175977617513,-0.2022917326151834,-0.3841129375780281
0:5.4,-1750.0,0.5157174222171307,False,1.2141788478487197,-0.3389980836360358,-0.1534120177056315,0.6312576949187404,-0.20575796337382124,-0.37185246971356056
0:5.5,-1750.0,0.5426224172115326,False,1.2624230511318457,-0.35447498207307715,-0.15026450334665178,0.6883866216834089,-0.25443953823503357,-0.3444626610893325
0:5.6,-1750.0,0.500730176595971,False,1.2973053688921925,-0.3644398938392306,-0.14930702403514035,0.7436331269891483,-0.30890710247356346,-0.33608441053946647
0:5.8,-1750.0,0.5,False,1.4039983143194292,-0.39778627962625934,-0.14930724591397648,0.7996362545357111,-0.342466128535567,-0.32462151768132913
0:5.9,-1750.0,0.5,False,1.4505169158510902,-0.41221064256246254,-0.14930771728758468,0.8443404287151897,-0.36712682623253434,-0.32338249198934477
0:6.0,-1750.0,0.5,False,1.499319719621044,-0.4265304660935505,-0.14930772174923695,0.8859336806853745,-0.39446435557040016,-0.32058118922995693
0:6.1,-1750.0,0.5,False,1.5500835761787362,-0.4422616512028187,-0.14930723132876578,0.9098508761661083,-0.4172885892713422,-0.32899478939561627
0:6.3,-1750.0,0.5,False,1.6466667257862044,-0.47152107597107623,-0.1493064938280523,0.9221542947495379,-0.4518104841228922,-0.35236302050200524
