"['Time', 'Velocity', 'Wheel Angle', 'Push Button', 'X Pose', 'Y Pose', 'Z Orien', 'X PF', 'Y PF', 'Z Orien PF']"
0:1.1,0.0,0.5,False,0.0035516020349808212,-4.3351624340513336e-05,4.5249682833076195e-05,0.06793692402142847,-0.0330092105922021,-0.006013703452015111
0:2.5,-113.96302327513695,0.5,False,0.0035417990482011176,-4.342151335933932e-05,4.873897284844347e-05,0.07048873909457852,-0.037071552901840325,0.004492245390754748
0:2.6,-1086.9138851761818,0.5,False,0.005686515074858435,-9.878100542662528e-05,4.842929952472112e-05,0.06323898060670544,-0.03385157856216999,0.003952137478464986
0:2.7,-1737.1413116322624,0.5,False,0.011081854158383243,-7.11024880698793e-05,4.793842021161407e-05,0.06148878772978689,-0.026225062252267693,0.003213652526436422
0:2.9,-1750.0,0.607793542089065,False,0.06273374020653563,0.0004654605300761491,-0.005701356728117871,0.05027432757262773,-0.020886660686573858,0.007191120047620901
0:3.0,-1750.0,0.836483234167099,False,0.11225278588244003,-0.0009109565285153725,-0.027642157736875245,0.038588070306669386,-0.01715828644584182,0.0072088094321064765
0:3.1,-1750.0,0.8386067032814026,False,0.17123982727895676,-0.007431542076829303,-0.05673594984756307,0.043015266275579875,-0.009337327538118301,0.02400132740967507
0:3.3,-1750.0,0.8400195598602295,False,0.2954306680010498,-0.029278299520396654,-0.11793744705957532,0.06569876482272287,0.002475767796790554,0.08594798013943196
0:3.4,-1750.0,0.839313131570816,False,0.3510875444120469,-0.043382326485172255,-0.14563924948478624,0.07951692580754346,0.011833114197143335,0.16171010277117548
0:3.5,-1750.0,0.8327426808220999,False,0.4053214861878582,-0.0621421239983631,-0.17238732656139108,0.12601130320977907,0.027027465859114162,0.22195453411545735
0:3.6,-1750.0,0.8294043064117431,False,0.45315061519418065,-0.08068379672488243,-0.19625387945622016,0.16807733680741904,0.04580478987900635,0.2774929674857601
0:3.8,-1750.0,0.8284933515957423,False,0.5401730959123144,-0.12103026253890228,-0.2397539721779648,0.2092612763308504,0.07117235896340643,0.31006484746340124
0:3.9,-1750.0,0.8308213472366333,False,0.5764350169917505,-0.1411686634200774,-0.2584479310820623,0.2615069102284958,0.09506553628503647,0.3501798828899842
0:4.0,-1750.0,0.8193873541695731,False,0.6105205721999309,-0.16130851795652945,-0.2758281383990995,0.2982679585561813,0.11877259211933272,0.3835421087248239
0:4.1,-1750.0,0.8145360963685172,False,0.650679346655419,-0.18766149048991873,-0.2960207809943568,0.33747974815128257,0.13037389593218296,0.4247737413813054
0:4.3,-1750.0,0.7890394598245621,False,0.7342404392027186,-0.2507901480203396,-0.3387929585393655,0.38109677738706893,0.13781377617140306,0.470899403359999
0:4.4,-1750.0,0.7578812420368195,False,0.7746467400825183,-0.2847315107518318,-0.3571574551963954,0.4083534493066908,0.1625010193284696,0.510899058576916
0:4.5,-1750.0,0.7585897624492646,False,0.8120450695677821,-0.3188451817703034,-0.3742556231036337,0.4267418040731386,0.1557868314708586,0.5592305722912733
0:4.6,-1750.0,0.7048651532649994,False,0.8459433026157253,-0.3531517391530271,-0.38909134401912615,0.4587864735711234,0.19605831753377925,0.5827760986711111
0:4.7,-1750.0,0.5017160131522588,False,0.8812862743760157,-0.39041517822268357,-0.3918751354374542,0.4459721615294255,0.2180310021839862,0.6317653768059196
0:4.9,-1750.0,0.4390097834169865,False,0.9527228457736365,-0.46676677595099325,-0.3900033404720432,0.46432515826081355,0.23913354831214584,0.6485261893206787
0:5.0,-1750.0,0.27822197377681734,False,0.9896340109490944,-0.5036438874266551,-0.37650969333422746,0.489785670189551,0.26734763007489987,0.6525471313186259
0:5.1,-1750.0,0.37000739130496985,False,1.0276510821610199,-0.5402829930191769,-0.3642637766607143,0.4923483658293966,0.30524074610734064,0.6566350859857266
0:5.3,-1750.0,0.5,False,1.101352808050848,-0.6079013678944512,-0.36401256212611555,0.49204742291904474,0.3313186188486218,0.6659104702790896
0:5.4,-1750.0,0.5,False,1.139596223897349,-0.642912190105024,-0.3640128250416926,0.5160936782622338,0.3610976824577069,0.64300216383204
0:5.5,-1750.0,0.5,False,1.17767285406633,-0.677683905102916,-0.3640130486888278,0.5342485846948214,0.37107819825425614,0.6272467130601622
0:5.6,-1750.0,0.47157061919569976,False,1.2135457179902707,-0.7115318184783357,-0.36330679626129375,0.5547315244047099,0.434271473265871,0.632986840686906
0:5.8,-1750.0,0.44523776961224415,False,1.2870360606196627,-0.7792366128201166,-0.3563663404526375,0.5521402562362493,0.4408425435078904,0.637485795433907
0:5.9,-1750.0,0.4460475102066993,False,1.332205564521654,-0.8180399308979807,-0.35213800238220105,0.5520395548579135,0.46786464467931216,0.6386874552849684
0:6.0,-1750.0,0.4076064135347093,False,1.3607975544566193,-0.8433749905325336,-0.34790270335557966,0.5466307051975796,0.5044284801478516,0.6539190588936131
