Time,Velocity,Wheel Angle,Push Button,X Pose,Y Pose,Z Orien,X PF,Y PF,Z Orien PF
0:0.6,0.0,0.5,False,-2.290780141080228,19.12992187090288,0.9217756763479661,0.023136131826391182,0.012178508981799889,0.013587729279173434
0:0.7,0.0,0.5,False,-2.291545706616736,19.132112197733903,0.9221485115107665,0.022225165618681902,0.008641946170596975,0.006692491575954711
0:0.8,0.0,0.5,False,-2.294910142593721,19.131819386431534,0.9194588498930808,0.03282311928267956,0.007184226415428763,0.0020925050759744504
0:1.0,0.0,0.5,False,-2.2918655473055463,19.121582549556948,0.9176401034573076,0.03512621725475926,0.0057333115776889015,0.010471049042443654
0:1.6,0.0,0.5,False,-2.277148434477745,19.128273904397624,0.9180277982645131,0.04466503356669266,0.011898407023759478,0.0020907068931311384
0:1.7,0.0,0.5,False,-2.282689685330816,19.112190717972304,0.9176356420297582,0.05462214913592288,0.01982757747924628,-0.008355671971372233
0:1.8,-875.0000000000001,0.5,False,-2.2692390114143945,19.114393042440057,0.9143199528242432,0.05719890190942198,0.028958109807239035,-0.0039740500027035984
0:1.9,-1750.0,0.5,False,-2.2704863943835614,19.12838908400121,0.9152067677663411,0.034304015619741474,0.03436073481452827,-9.293707110992583e-06
0:2.1,-1750.0,0.49146666666666666,False,-2.3049646891939033,19.214601840315737,0.9198901517941488,0.03246835111725424,0.03228265328004143,0.0078085202972434644
0:2.2,-1750.0,0.2709999999999999,False,-2.3544112296144313,19.294427364588625,0.927850035225261,0.013759094608084416,0.0035669162831235175,-0.0011566944476807492
0:2.4,-1750.0,0.15,False,-2.4178682008664203,19.458341370041936,0.9508969841360272,0.0034777105611407955,0.023779287273723818,-0.00038351755960412985
0:2.5,-1750.0,0.15,False,-2.4763703237725254,19.624897032532072,0.9648686283069157,-0.009334625829377746,0.014034729676560328,-0.03329937060476776
0:2.6,-1750.0,0.15,False,-2.515516780532382,19.716751976834672,0.9640132646013287,0.00930881178267906,-0.0057407807273758965,-0.09575395772458803
0:2.7,-1750.0,0.15,False,-2.535767498486042,19.78868217623411,0.9702985862466028,0.05536229663110796,-0.03932959292159458,-0.14718613646635342
0:2.9,-1750.0,0.17797627669743127,False,-2.543248851164912,19.962107120628517,0.9706391730650973,0.11324771771490055,-0.04000715119180223,-0.25227169275569306
0:3.1,-1750.0,0.48161818701426184,False,-2.4683136441667717,20.038573937138967,0.9588351983852517,0.19954409306310886,-0.042899326086155404,-0.3173249414989261
0:3.2,-1750.0,0.5,False,-2.3999367994140695,20.07825926069482,0.952144085403158,0.2828266249395751,-0.035794542518537115,-0.33876441003030494
0:3.3,-1750.0,0.3496141593058904,False,-2.396756657207256,20.14317122946817,0.9546308129366755,0.3188376186755222,-0.03470910598956735,-0.3801137267661027
0:3.4,-1750.0,0.48307048854827883,False,-2.332389540026414,20.26487005117876,0.9399649661154372,0.3631952712711688,-0.05747677012547102,-0.4017877260461634
0:3.6,-1750.0,0.5,False,-2.2931069607040198,20.41057741433969,0.9346556845491749,0.40269947639906717,-0.07530181871605193,-0.4069700800714245
0:3.7,-1750.0,0.5,False,-2.292245929649258,20.491612560574485,0.9335760149654104,0.4207579117267882,-0.09783915707799216,-0.4097312224460863
0:3.8,-1750.0,0.5,False,-2.2883329960145393,20.543213536646753,0.9335762688372121,0.4401244115751683,-0.13472274690215288,-0.42543901939081014
0:3.9,-1750.0,0.5,False,-2.2803478195181315,20.62531311039538,0.9272420978004541,0.488276246921824,-0.18159036184417643,-0.4213558298949693
0:4.1,-1750.0,0.5,False,-2.275820296679376,20.70526115671523,0.928920176606133,0.4986297735763824,-0.1904185924784365,-0.4610022603746913
0:4.2,-1750.0,0.5056877389550208,False,-2.2127058610838,20.835606491046846,0.9097559408135265,0.5496626881210422,-0.22866577783755515,-0.4691143747306987
0:4.3,-1750.0,0.6134369492530822,False,-2.195895275808037,20.89105030771271,0.9045597127314567,0.5911021266166119,-0.2393762635589531,-0.464892408674597
0:4.4,-1750.0,0.5,False,-2.1602038562836974,20.983580455379787,0.9023243063630857,0.6311554807508859,-0.2827051251841828,-0.47359823506669907
0:4.6,-1750.0,0.6549989353554589,False,-2.1324440403367797,21.073759752522484,0.8981166754455765,0.6726559664803773,-0.3191744156316769,-0.4639755527822206
0:4.7,-1750.0,0.5706854308128356,False,-2.1297432381768133,21.139099335200797,0.8962647159135668,0.7173328798883558,-0.35595828154957204,-0.4640045732864895
0:4.8,-1750.0,0.5043031054534367,False,-2.0944541918903803,21.215157580177525,0.8905472377640989,0.7296131279609667,-0.35935140363109885,-0.4593432145855001
0:5.0,-1750.0,0.5985642619431019,False,-2.095269023431475,21.364276099878676,0.8930006082327887,0.7491210526375466,-0.3641888082101742,-0.4444289117632278
0:5.1,-1750.0,0.7321199399232864,False,-2.0672723931162618,21.445526379630202,0.8822661463351426,0.7975440508918398,-0.4062052187974775,-0.4420219915374065
0:5.2,-1750.0,0.743027412891388,False,-2.069380029102227,21.49554301081988,0.8740084698135493,0.8547687584239083,-0.4564160821090887,-0.4338135877891355
0:5.3,-1750.0,0.69604971408844,False,-2.029879761900429,21.560446803634022,0.8580783987411041,0.8844208068025321,-0.511696843904017,-0.4256479016481096
0:5.5,-1750.0,0.5,False,-2.0695988144991295,21.640221268477575,0.8623504760045446,0.9231868047237404,-0.5420184695011957,-0.38997681911635296
0:5.6,-1750.0,0.5,False,-2.107724301760186,21.702449435707393,0.8714195748946089,0.9272576505737493,-0.5618181228426973,-0.3684740979486903
0:5.7,-1750.0,0.5731428571428572,False,-2.1785862461255308,21.79197994813892,0.8810406107885368,0.9549901589218278,-0.601113343665224,-0.3609231308481994
0:5.8,-1750.0,0.7715019841591517,False,-2.210331062011062,21.814610945731307,0.8760799373257965,0.9683865979013118,-0.6319037753797451,-0.36027054166458033
0:6.0,-1750.0,0.8072628089359828,False,-2.1771994861237562,21.95707965471358,0.8429598971969645,1.0137146098208765,-0.667206004233941,-0.357251857059503
0:6.1,-1750.0,0.8095908105373382,False,-2.159747328895021,22.004813636892884,0.826199564370612,1.089913752659241,-0.712085113662975,-0.3228439369076418
0:6.2,-1750.0,0.7937299752235412,False,-2.1719750518303447,22.04616086564681,0.8158365057925275,1.171885988291865,-0.7618214677623698,-0.2670712605806309
0:6.3,-1750.0,0.6683177253405251,False,-2.2684824991985986,22.015767096059747,0.8281436820171837,1.2316236853499336,-0.784427172865522,-0.21686001111572423
0:6.5,-1750.0,0.5,False,-2.361446148397346,22.09099475870054,0.8421382319040969,1.2693448159388836,-0.8255982535217935,-0.19378341047188333
0:6.6,-1750.0,0.5,False,-2.6274292523301677,22.11265803684963,0.8784656187108532,1.3328628644928244,-0.8556967723221881,-0.1466612362839984
0:6.7,-1750.0,0.5,False,-2.7111875278826147,22.16758600695677,0.8870607239944587,1.3904108489737819,-0.8752814477337765,-0.1285379137019594
0:6.9,-1750.0,0.6039251987423216,False,-2.7366805959243106,22.279450440940696,0.8821622514488687,1.4037946232150904,-0.8861059319850643,-0.13947079533325718
0:7.0,-1750.0,0.5632628240346909,False,-2.7626202186334963,22.429968526375884,0.8718982964363269,1.434994272091604,-0.9019448405064733,-0.1334023139543781
0:7.1,-1750.0,0.548973273858428,False,-2.775866427350806,22.463506661547434,0.8711428770338734,1.5036597052481735,-0.92506023387132,-0.14070723485545197
0:7.2,-1750.0,0.5957301720976829,False,-2.8426557650796993,22.395850994853337,0.8806277900106727,1.6434468320274607,-0.9530233466979936,-0.10214543441195738
0:7.3,-1750.0,0.5,False,-2.861495254974148,22.44288668726427,0.8806278470893204,1.7275342542263963,-0.9762812851218566,-0.08809881856239225
0:7.5,-1750.0,0.5,False,-2.956750631741624,22.520982117238212,0.8872371265594976,1.7777123390827985,-0.9834266849983074,-0.08343260868125758
0:7.6,-1750.0,0.5,False,-2.995752636321085,22.59224688833004,0.8883174554392328,1.8342422495414583,-0.9988638644205811,-0.08347688407834915
0:7.7,-1750.0,0.5,False,-3.0154330988200213,22.626506107091902,0.8882966679882968,1.8955619923722513,-0.9997500413274008,-0.07496688381525933
0:7.8,-1750.0,0.5,False,-3.0431803811811777,22.703423273003196,0.8890101084580656,1.913928153856745,-1.003749976019756,-0.08878844078402749
0:8.0,-1750.0,0.5,False,-3.0454435563127973,22.80408136510812,0.8849988355057969,1.9475373882859062,-1.006884062571741,-0.09236932871101625
